ID,Pred
2022_1103_1104,0.2142435547250119
2022_1103_1112,0.10325551731585235
2022_1103_1116,0.1694390519886389
2022_1103_1120,0.11265212033769659
2022_1103_1124,0.0960526459531673
2022_1103_1129,0.20501832334329503
2022_1103_1136,0.608664184263836
2022_1103_1151,0.3521464390037291
2022_1103_1159,0.5094746766709242
2022_1103_1161,0.25385637800490557
2022_1103_1163,0.1841714171396338
2022_1103_1166,0.2516217528118694
2022_1103_1168,0.6074137392575135
2022_1103_1172,0.2826631984200556
2022_1103_1174,0.5298354258668588
2022_1103_1181,0.11028870671484561
2022_1103_1209,0.484989553989717
2022_1103_1211,0.047610223135682604
2022_1103_1222,0.07458989021615617
2022_1103_1228,0.1503245173511373
2022_1103_1231,0.17949694527847412
2022_1103_1234,0.11979175408408364
2022_1103_1235,0.23816849954389144
2022_1103_1240,0.5353324310628484
2022_1103_1242,0.09211163012380648
2022_1103_1246,0.10551416624633898
2022_1103_1255,0.5445119110213149
2022_1103_1260,0.21952290716858255
2022_1103_1261,0.17397540215616042
2022_1103_1266,0.2579454521920504
2022_1103_1272,0.17954227797301694
2022_1103_1274,0.28684967951414453
2022_1103_1276,0.20159045138523332
2022_1103_1277,0.2322993755895681
2022_1103_1286,0.53274787741612
2022_1103_1293,0.23722882498008704
2022_1103_1308,0.3489570590130091
2022_1103_1313,0.6143007637034753
2022_1103_1314,0.21824390655909479
2022_1103_1323,0.24708276305948282
2022_1103_1326,0.22347825299332139
2022_1103_1344,0.26483610050040485
2022_1103_1345,0.12671654772306035
2022_1103_1350,0.37742630899972446
2022_1103_1353,0.30578148110810655
2022_1103_1355,0.3539253778531067
2022_1103_1361,0.17163564023884612
2022_1103_1362,0.17000093883003353
2022_1103_1371,0.24920193719787873
2022_1103_1388,0.1419458381494431
2022_1103_1389,0.4389920680999418
2022_1103_1394,0.7162618662561858
2022_1103_1395,0.22845985904636176
2022_1103_1397,0.09796366169553401
2022_1103_1400,0.14289869229736482
2022_1103_1403,0.0972590480609898
2022_1103_1411,0.5937703311003357
2022_1103_1412,0.28417901425795306
